season,scheme,state_name,district_name,area_insured,sum_insured,farmer_share,goi_share,state_share,iu_count
kharif,PMFBY,Chhattisgarh,Raipur,88.41,37187.59,743.75,1351.77,1351.77,425
kharif,PMFBY,Chhattisgarh,Rajnandgaon,284.84,103413.33,2068.27,7595.33,7595.33,836
kharif,PMFBY,Chhattisgarh,Sukma,7.84,2116.18,42.32,137.49,137.49,107
kharif,PMFBY,Chhattisgarh,Surajpur,33.94,9166.01,183.32,274.75,274.75,421
kharif,PMFBY,Chhattisgarh,Surguja,31.36,8576.48,171.53,90.97,90.97,403
kharif,WBCIS,Chhattisgarh,Balod,0.19,143.58,7.18,13.71,13.71,7
kharif,WBCIS,Chhattisgarh,Baloda Bazar,0.06,47.42,2.37,4.74,4.74,12
kharif,WBCIS,Chhattisgarh,Balrampur,0.03,22.27,1.11,1.96,1.96,8
kharif,WBCIS,Chhattisgarh,Bastar,0.23,169.22,8.46,19.02,19.02,12
kharif,WBCIS,Chhattisgarh,Bemetara,1.11,753.5,37.68,76.47,76.47,9
kharif,WBCIS,Chhattisgarh,Bijapur,0,2.3,0.115,0.338,0.338,1
kharif,WBCIS,Chhattisgarh,Bilaspur,0.16,155.55,7.78,13.16,13.16,12
kharif,WBCIS,Chhattisgarh,Dhamtari,0.05,42.87,2.14,4.15,4.15,20
kharif,WBCIS,Chhattisgarh,Durg,1.27,818.99,40.95,77.99,77.99,11
kharif,WBCIS,Chhattisgarh,Gariyaband,0.08,62.17,3.11,7.64,7.64,10
kharif,WBCIS,Chhattisgarh,Janjgir-champa,0.07,57.72,2.89,6.06,6.06,24
kharif,WBCIS,Chhattisgarh,Jashpur,0.01,6.17,0.3084,0.9264,0.9264,4
kharif,WBCIS,Chhattisgarh,Kondagaon,0.03,23.4,1.17,3.14,3.14,13
kharif,WBCIS,Chhattisgarh,Korba,0.19,120.37,6.02,19.06,19.06,29
kharif,WBCIS,Chhattisgarh,Mahasamund,0.1,99.43,4.97,9.28,9.28,12
kharif,WBCIS,Chhattisgarh,Mungeli,0.11,96.9,4.85,7.35,7.35,5
kharif,WBCIS,Chhattisgarh,Narayanpur,0,4.55,0.2275,0.4027,0.4027,1
kharif,WBCIS,Chhattisgarh,Raigarh,0.09,57.83,2.89,8.11,8.11,13
kharif,WBCIS,Chhattisgarh,Raipur,0.08,90.72,4.54,9.35,9.35,24
kharif,WBCIS,Chhattisgarh,Rajnandgaon,1.46,2224.41,111.22,599.72,599.72,20
kharif,WBCIS,Chhattisgarh,Sukma,0.02,32.32,1.62,2.79,2.79,3
kharif,WBCIS,Chhattisgarh,Surajpur,0.04,30.74,1.54,2.97,2.97,9
kharif,WBCIS,Chhattisgarh,Surguja,0.1,78.27,3.91,6.8,6.8,11
kharif,PMFBY,Goa,North Goa,0.01,4.88,0.0975,0.012,0.012,6
kharif,PMFBY,Goa,South Goa,0.27,323.3,3.24,0.0047,0.0047,12
kharif,PMFBY,Gujarat,Banas Kantha,0.03,10.8,0.4555,0.152,0.152,2
kharif,PMFBY,Gujarat,Patan,0.02,8.79,0.4312,0.2758,0.2758,3
kharif,PMFBY,Haryana,Ambala,31.38,23060.88,461.22,115.63,116.34,481
kharif,PMFBY,Haryana,Bhiwani,56.82,37074.83,741.5,1742.82,2617.77,277
kharif,PMFBY,Haryana,Faridabad,5.06,3673.98,73.48,46.77,48.84,138
kharif,PMFBY,Haryana,Fatehabad,96.75,70328.55,1406.57,1774.11,2820.28,248
kharif,PMFBY,Haryana,Hisar,121.6,87014.25,1740.28,4952.19,6975.22,280
kharif,PMFBY,Haryana,Jhajjar,22.62,15171.74,303.43,979.77,1043.7,262
kharif,PMFBY,Haryana,Jind,89.98,65558.79,1311.17,1627.37,2274.79,311
kharif,PMFBY,Haryana,Kaithal,77.42,56872.28,1137.44,615.32,635,278
kharif,PMFBY,Haryana,Karnal,58.91,43288.88,865.78,324.77,325.9,431
kharif,PMFBY,Haryana,Kurukshetra,48.65,35731.51,714.45,159.92,160.67,418
kharif,PMFBY,Haryana,Mahendragarh,29.22,14024.91,280.5,210,417.34,370
kharif,PMFBY,Haryana,Palwal,20.03,14497.25,289.94,236.72,355.26,280
kharif,PMFBY,Haryana,Panchkula,3.77,2658.58,53.17,169.4,169.55,192
kharif,PMFBY,Haryana,Panipat,25.8,18955.94,379.12,186,186.39,194
kharif,PMFBY,Haryana,Rewari,27.27,12844.41,256.89,603.26,751.8,405
kharif,PMFBY,Haryana,Rohtak,24.14,17373.91,347.48,1505.04,1566.16,147
kharif,PMFBY,Haryana,Sirsa,148.73,107424.42,2148.49,1592.77,4024.54,335
kharif,PMFBY,Haryana,Sonipat,48.44,35502.01,710.04,355.54,357.42,337
kharif,PMFBY,Haryana,Yamunanagar,18.66,13693.09,273.86,98.79,99.09,629
kharif,PMFBY,Himachal Pradesh,Bilaspur,4.43,1329.94,26.6,5.24,5.24,7
kharif,PMFBY,Himachal Pradesh,Chamba,1.09,327.98,3.37,0,0,12
kharif,PMFBY,Himachal Pradesh,Hamirpur,6.17,1850.72,36.67,2.53,2.53,10
kharif,PMFBY,Himachal Pradesh,Kangra,10.79,3235.92,61.59,2.62,2.62,34
kharif,PMFBY,Himachal Pradesh,Kullu,0,0.144,0.0027,0,0,1
kharif,PMFBY,Himachal Pradesh,Mandi,1.62,486.32,6.57,0,0,23
kharif,PMFBY,Himachal Pradesh,Shimla,0.11,33.24,0.6316,0,0,5
kharif,PMFBY,Himachal Pradesh,Sirmaur,0.6,179.83,2.57,0,0,10
kharif,PMFBY,Himachal Pradesh,Solan,2.14,642.52,12.85,0.3286,0.3286,12
kharif,PMFBY,Himachal Pradesh,Una,5.25,1574.42,17.95,0,0,12
kharif,WBCIS,Himachal Pradesh,Bilaspur,0.08,104.13,5.21,1.23,1.23,3
